Category,Date,Language,Country,Count
whole_corpus,2019-05-31,Afrikaans,Italy,1
whole_corpus,2019-06-07,Afrikaans,Italy,1
whole_corpus,2019-06-11,Afrikaans,Italy,1
whole_corpus,2019-05-20,Afrikaans,Namibia,7
whole_corpus,2019-05-21,Afrikaans,Namibia,4
whole_corpus,2019-05-22,Afrikaans,Namibia,1
whole_corpus,2019-05-23,Afrikaans,Namibia,2
whole_corpus,2019-05-24,Afrikaans,Namibia,4
whole_corpus,2019-05-27,Afrikaans,Namibia,1
whole_corpus,2019-05-28,Afrikaans,Namibia,7
whole_corpus,2019-05-30,Afrikaans,Namibia,4
whole_corpus,2019-06-02,Afrikaans,Namibia,4
whole_corpus,2019-06-03,Afrikaans,Namibia,1
whole_corpus,2019-06-05,Afrikaans,Namibia,4
whole_corpus,2019-06-06,Afrikaans,Namibia,9
whole_corpus,2019-06-09,Afrikaans,Namibia,5
whole_corpus,2019-06-10,Afrikaans,Namibia,7
whole_corpus,2019-06-11,Afrikaans,Namibia,2
whole_corpus,2019-05-20,Afrikaans,South Africa,44
whole_corpus,2019-05-21,Afrikaans,South Africa,10
whole_corpus,2019-05-22,Afrikaans,South Africa,21
whole_corpus,2019-05-23,Afrikaans,South Africa,17
whole_corpus,2019-05-24,Afrikaans,South Africa,24
whole_corpus,2019-05-25,Afrikaans,South Africa,19
whole_corpus,2019-05-26,Afrikaans,South Africa,26
whole_corpus,2019-05-27,Afrikaans,South Africa,59
whole_corpus,2019-05-28,Afrikaans,South Africa,10
whole_corpus,2019-05-29,Afrikaans,South Africa,29
whole_corpus,2019-05-30,Afrikaans,South Africa,21
whole_corpus,2019-05-31,Afrikaans,South Africa,31
whole_corpus,2019-06-01,Afrikaans,South Africa,19
whole_corpus,2019-06-02,Afrikaans,South Africa,17
whole_corpus,2019-06-03,Afrikaans,South Africa,50
whole_corpus,2019-06-04,Afrikaans,South Africa,13
whole_corpus,2019-06-05,Afrikaans,South Africa,26
whole_corpus,2019-06-06,Afrikaans,South Africa,20
whole_corpus,2019-06-07,Afrikaans,South Africa,31
whole_corpus,2019-06-08,Afrikaans,South Africa,2
whole_corpus,2019-06-09,Afrikaans,South Africa,29
whole_corpus,2019-06-10,Afrikaans,South Africa,65
whole_corpus,2019-06-11,Afrikaans,South Africa,23
whole_corpus,2019-05-20,Albanian,Albania,26
whole_corpus,2019-05-21,Albanian,Albania,29
whole_corpus,2019-05-22,Albanian,Albania,34
whole_corpus,2019-05-23,Albanian,Albania,40
whole_corpus,2019-05-24,Albanian,Albania,45
whole_corpus,2019-05-25,Albanian,Albania,49
whole_corpus,2019-05-26,Albanian,Albania,53
whole_corpus,2019-05-27,Albanian,Albania,75
whole_corpus,2019-05-28,Albanian,Albania,70
whole_corpus,2019-05-29,Albanian,Albania,57
whole_corpus,2019-05-30,Albanian,Albania,55
whole_corpus,2019-05-31,Albanian,Albania,60
whole_corpus,2019-06-01,Albanian,Albania,89
whole_corpus,2019-06-02,Albanian,Albania,67
whole_corpus,2019-06-03,Albanian,Albania,60
whole_corpus,2019-06-04,Albanian,Albania,47
whole_corpus,2019-06-05,Albanian,Albania,70
whole_corpus,2019-06-06,Albanian,Albania,61
whole_corpus,2019-06-07,Albanian,Albania,50
whole_corpus,2019-06-08,Albanian,Albania,63
whole_corpus,2019-06-09,Albanian,Albania,47
whole_corpus,2019-06-10,Albanian,Albania,51
whole_corpus,2019-06-11,Albanian,Albania,79
